"BGN","2011","Q3","0.449304666666667"
"BGN","2011","Q4","0.438587666666667"
"BGN","2012","Q1","0.426635"
"BGN","2012","Q2","0.41479"
"BGN","2012","Q3","0.404915666666667"
"BGN","2012","Q4","0.412809"
"BGN","2013","Q1","0.434764"
"BGN","2013","Q2","0.434275333333333"
"BGN","2013","Q3","0.436442"
"BGN","2013","Q4","0.429937"
"BGN","2014","Q1","0.423294666666667"
"BGN","2014","Q2","0.416650333333333"
"BGN","2014","Q3","0.405885333333333"
"BGN","2014","Q4","0.403377333333333"
"BGN","2015","Q1","0.380122666666667"
"BGN","2015","Q2","0.369301333333333"
"BGN","2015","Q3","0.367288333333333"
"BGN","2015","Q4","0.369027666666667"
"BHD","2006","Q1","1.514112"
"BHD","2006","Q2","1.45317366666667"
"BHD","2006","Q3","1.415093"
"BHD","2006","Q4","1.38470533333333"
"BHD","2007","Q1","1.356995"
"BHD","2007","Q2","1.33640133333333"
"BHD","2007","Q3","1.31322"
"BHD","2007","Q4","1.30157733333333"
"BHD","2008","Q1","1.343705"
"BHD","2008","Q2","1.34573433333333"
"BHD","2008","Q3","1.40509966666667"
"BHD","2008","Q4","1.69664933333333"
"BHD","2009","Q1","1.847763"
"BHD","2009","Q2","1.71488966666667"
"BHD","2009","Q3","1.61706766666667"
"BHD","2009","Q4","1.62477433333333"
"BHD","2010","Q1","1.70236"
"BHD","2010","Q2","1.778768"
"BHD","2010","Q3","1.710674"
"BHD","2010","Q4","1.67779233333333"
"BHD","2011","Q1","1.65575433333333"
"BHD","2011","Q2","1.62636133333333"
"BHD","2011","Q3","1.647173"
"BHD","2011","Q4","1.68755433333333"
"BHD","2012","Q1","1.68812533333333"
"BHD","2012","Q2","1.67677933333333"
"BHD","2012","Q3","1.67920433333333"
"BHD","2012","Q4","1.65297466666667"
"BHD","2013","Q1","1.71042433333333"
"BHD","2013","Q2","1.727348"
"BHD","2013","Q3","1.71040733333333"
"BHD","2013","Q4","1.63847933333333"
"BHD","2014","Q1","1.602495"
"BHD","2014","Q2","1.57566266666667"
"BHD","2014","Q3","1.58969466666667"
"BHD","2014","Q4","1.67646233333333"
"BHD","2015","Q1","1.751299"
"BHD","2015","Q2","1.731562"
"BHD","2015","Q3","1.71202066666667"
"BHD","2015","Q4","1.74835666666667"
"BRL","2006","Q1","0.260640666666667"
"BRL","2006","Q2","0.250902333333333"
"BRL","2006","Q3","0.245629666666667"
"BRL","2006","Q4","0.242779333333333"
"BRL","2007","Q1","0.242806333333333"
"BRL","2007","Q2","0.254166"
"BRL","2007","Q3","0.258208333333333"
"BRL","2007","Q4","0.274516333333333"
"BRL","2008","Q1","0.290732666666667"
"BRL","2008","Q2","0.306681333333333"
"BRL","2008","Q3","0.31799"
"BRL","2008","Q4","0.279586"
"BRL","2009","Q1","0.300739333333333"
"BRL","2009","Q2","0.311475333333333"
"BRL","2009","Q3","0.326556333333333"
"BRL","2009","Q4","0.351816666666667"
"BRL","2010","Q1","0.355785"
"BRL","2010","Q2","0.374141666666667"
"BRL","2010","Q3","0.368710333333333"
"BRL","2010","Q4","0.372689333333333"
"BRL","2011","Q1","0.374384333333333"
"BRL","2011","Q2","0.384445333333333"
"BRL","2011","Q3","0.380898"
"BRL","2011","Q4","0.353622333333333"
"BRL","2012","Q1","0.360153333333333"
"BRL","2012","Q2","0.322875333333333"
"BRL","2012","Q3","0.312066666666667"
"BRL","2012","Q4","0.302538"
"BRL","2013","Q1","0.323056666666667"
"BRL","2013","Q2","0.315164333333333"
"BRL","2013","Q3","0.281966"
"BRL","2013","Q4","0.271483"
"BRL","2014","Q1","0.255874666666667"
"BRL","2014","Q2","0.266545"
"BRL","2014","Q3","0.263355"
"BRL","2014","Q4","0.248161333333333"
"BRL","2015","Q1","0.231477"
"BRL","2015","Q2","0.212445666666667"
"BRL","2015","Q3","0.183183"
"BRL","2015","Q4","0.171304333333333"
"CAD","2006","Q1","0.494234"
"CAD","2006","Q2","0.487803666666667"
"CAD","2006","Q3","0.475943333333333"
"CAD","2006","Q4","0.458294"
"CAD","2007","Q1","0.4368"
"CAD","2007","Q2","0.458835666666667"
"CAD","2007","Q3","0.473335666666667"
"CAD","2007","Q4","0.499565333333333"
"CAD","2008","Q1","0.503330333333333"
"CAD","2008","Q2","0.502063666666667"
"CAD","2008","Q3","0.508693"
"CAD","2008","Q4","0.527004666666667"
"CAD","2009","Q1","0.560032"
"CAD","2009","Q2","0.553761"
"CAD","2009","Q3","0.555411666666667"
"CAD","2009","Q4","0.579458666666667"
"CAD","2010","Q1","0.616472666666667"
"CAD","2010","Q2","0.652110333333333"
