,Currency,Year,Quarter,Rate,meanCurrency,sdCurrency,StandardRate
1346,RON,2009,Q1,0.213128667,0.194346019,0.016115077,-0.657823592
1337,RON,2010,Q1,0.215724,0.194346019,0.016115077,-0.657823592
1341,RON,2011,Q1,0.202282667,0.194346019,0.016115077,-0.657823592
1358,RON,2012,Q1,0.191752,0.194346019,0.016115077,-0.657823592
1335,RON,2013,Q1,0.194260333,0.194346019,0.016115077,-0.657823592
1322,RON,2014,Q1,0.183878,0.194346019,0.016115077,-0.657823592
1361,RON,2015,Q1,0.166980333,0.194346019,0.016115077,-0.657823592
1354,RON,2016,Q1,0.171440667,0.194346019,0.016115077,-0.657823592
1394,RUB,2006,Q4,0.019630667,0.018417875,0.003935079,-0.657823592
1406,RUB,2007,Q4,0.019866,0.018417875,0.003935079,-0.657823592
1388,RUB,2008,Q4,0.023383,0.018417875,0.003935079,-0.657823592
1379,RUB,2009,Q4,0.020771667,0.018417875,0.003935079,-0.657823592
1383,RUB,2010,Q4,0.0206,0.018417875,0.003935079,-0.657823592
1400,RUB,2011,Q4,0.020386667,0.018417875,0.003935079,-0.657823592
1376,RUB,2012,Q4,0.020042333,0.018417875,0.003935079,-0.657823592
1367,RUB,2013,Q4,0.018985,0.018417875,0.003935079,-0.657823592
1398,RUB,2014,Q4,0.013409667,0.018417875,0.003935079,-0.657823592
1403,RUB,2015,Q4,0.009988667,0.018417875,0.003935079,-0.657823592
1374,RUB,2016,Q4,0.0127655,0.018417875,0.003935079,-0.657823592
1393,RUB,2006,Q3,0.019903333,0.018417875,0.003935079,-0.657823592
1405,RUB,2007,Q3,0.019411333,0.018417875,0.003935079,-0.657823592
1387,RUB,2008,Q3,0.021780667,0.018417875,0.003935079,-0.657823592
1378,RUB,2009,Q3,0.019467,0.018417875,0.003935079,-0.657823592
1382,RUB,2010,Q3,0.021074333,0.018417875,0.003935079,-0.657823592
1386,RUB,2011,Q3,0.021344,0.018417875,0.003935079,-0.657823592
1375,RUB,2012,Q3,0.019821333,0.018417875,0.003935079,-0.657823592
1366,RUB,2013,Q3,0.019670333,0.018417875,0.003935079,-0.657823592
1397,RUB,2014,Q3,0.016512667,0.018417875,0.003935079,-0.657823592
1408,RUB,2015,Q3,0.010264333,0.018417875,0.003935079,-0.657823592
1372,RUB,2016,Q3,0.011795,0.018417875,0.003935079,-0.657823592
1392,RUB,2006,Q2,0.020136,0.018417875,0.003935079,-0.657823592
1396,RUB,2007,Q2,0.019479,0.018417875,0.003935079,-0.657823592
1373,RUB,2008,Q2,0.021458667,0.018417875,0.003935079,-0.657823592
1390,RUB,2009,Q2,0.020088,0.018417875,0.003935079,-0.657823592
1381,RUB,2010,Q2,0.022139,0.018417875,0.003935079,-0.657823592
1385,RUB,2011,Q2,0.021899667,0.018417875,0.003935079,-0.657823592
1402,RUB,2012,Q2,0.020373333,0.018417875,0.003935079,-0.657823592
1365,RUB,2013,Q2,0.020570333,0.018417875,0.003935079,-0.657823592
1369,RUB,2014,Q2,0.016991,0.018417875,0.003935079,-0.657823592
1407,RUB,2015,Q2,0.012371333,0.018417875,0.003935079,-0.657823592
1371,RUB,2016,Q2,0.01059,0.018417875,0.003935079,-0.657823592
1391,RUB,2006,Q1,0.020275,0.018417875,0.003935079,-0.657823592
1395,RUB,2007,Q1,0.019453,0.018417875,0.003935079,-0.657823592
1404,RUB,2008,Q1,0.020864333,0.018417875,0.003935079,-0.657823592
1389,RUB,2009,Q1,0.020525333,0.018417875,0.003935079,-0.657823592
1380,RUB,2010,Q1,0.021489667,0.018417875,0.003935079,-0.657823592
1384,RUB,2011,Q1,0.021342667,0.018417875,0.003935079,-0.657823592
1401,RUB,2012,Q1,0.021108667,0.018417875,0.003935079,-0.657823592
1377,RUB,2013,Q1,0.021201333,0.018417875,0.003935079,-0.657823592
1368,RUB,2014,Q1,0.017252,0.018417875,0.003935079,-0.657823592
1399,RUB,2015,Q1,0.010520667,0.018417875,0.003935079,-0.657823592
1370,RUB,2016,Q1,0.009384,0.018417875,0.003935079,-0.657823592
1433,SAR,2006,Q4,0.139190333,0.164248485,0.01832289,-0.657823592
1446,SAR,2007,Q4,0.131083667,0.164248485,0.01832289,-0.657823592
1449,SAR,2008,Q4,0.170522,0.164248485,0.01832289,-0.657823592
1418,SAR,2009,Q4,0.163326667,0.164248485,0.01832289,-0.657823592
1422,SAR,2010,Q4,0.168666667,0.164248485,0.01832289,-0.657823592
1426,SAR,2011,Q4,0.169593667,0.164248485,0.01832289,-0.657823592
1416,SAR,2012,Q4,0.166078,0.164248485,0.01832289,-0.657823592
1415,SAR,2013,Q4,0.164714667,0.164248485,0.01832289,-0.657823592
1438,SAR,2014,Q4,0.168453,0.164248485,0.01832289,-0.657823592
1448,SAR,2015,Q4,0.175790667,0.164248485,0.01832289,-0.657823592
1430,SAR,2016,Q4,0.215233,0.164248485,0.01832289,-0.657823592
